ALT,NEU
smok',smoken
trapp',trappen
Rari,Ferrari
warn's,waren es
verlor'n,verloren
Nuh-nuh-nuttin,Nutte
Hoff,Hoffe
Ma-Ma-Ma-Ma-Ma-Mama,Mama
AHHHH,AH
Ich-ich-ich-ich-ich,ich
A$AP,ASAP
A-A-A-Angelo,Angelo
mhm,hm
ARAM-SAM-SAM, 
Ossis,Ostdeutsche
werf' ,werfen
erfuell' ,erfuellen
Champus,Champagner
komm',kommen
woll'n,wollen
Wessis,Westdeutsche
BOOM-BOOM-BOOM, 
Schmeiss',Schmeisse
herkomm',herkommen
'ne',eine
PAH, 
PAH, 
seh's,sehe es
Lauf',Laufe
crash',crashen
PU-PU-PULL, 
Br-br-bring,Bringe
BABY-GYAL,BABY-GIRL
hoer'n,hoere einen
Schütt',Schütte
gefang'n,gefangen
gefang‘n,gefangen
kenn'n,kennen
 ja-ey , 
komm,komme
dei'm,deinem
 WUUUUH , WUH 
ene,eine
spill,spille
roll'n,rollen
talkin,talking
da-da,da
u-u-u-u-ups,ups
oh-oh-ohh,oh
ahh-ah-ah-ahh,ah
schließ',schließe
INSTA,INSTAGRAM
U-U-U-Ultra,Ultra
Ma-Ma-Ma-Ma-Ma-Mama,Mama
playin',playing
Fi-Fi-Finch,Finch
nehm',nehme
hab',habe
herkomm',herkomme
la-la-lass,lass
stürz',stürze
DEN'N,DENEN
PA-PARTY,PARTY
Nam'n,Namen
aIch,ich
ma',mal
ah-ah-ah-ah-ah,ah
ah-ah-ah-ah,ah
is',ist
darlin',darling
La-la-la-la-la-la-la-la-la-la,la
IMMOS,IMMOBILIEN
AHHH,AH
AHH,AH
’‘,'
mei'm,meinem
gibts,gibt es
spür,spüre
REINKOMM'N,rein kommen
sipp',trinke
ein'n,einen
'bout,about
Roli,Rolex
sollt,sollte
das',das ist
komm'n,kommen
sis,sister
allein,alleine
spinn',spinne
Dom P.,Dom Pérignon
RADIOANTENN',Radioantennen
A-A-Achthundert,Achthundert
s-s-sag,sag
Ge-Ge-Geldautomaten,Geldautomaten
Me-Me-Member,Member
f-,fick
